,bspline,fast_marching,gmm_2d,gmm_T1c,level_set,otsu_T1c,rango_doble,spline,sustraccion,variational_spline
bspline,0.9999999999999999,0.13032023385379388,0.3128996084384495,0.8314522197140706,0.8886380737396538,0.7411587659894656,0.3535163845338252,0.8103837471783295,0.5137270013544737,0.9563581640331075
fast_marching,0.13032023385379388,1.0,-0.20632553518931018,0.24632784086815376,0.19510370270596888,0.3201508635136555,-0.33885580596784515,0.35480248638807466,0.1250001417570273,0.21920917948817353
gmm_2d,0.3128996084384495,-0.20632553518931016,1.0,0.13990222877296063,0.15644980421922475,-0.009025950243416814,0.7398496240601502,0.1745017047060584,0.5218045112781955,0.20007523039573938
gmm_T1c,0.8314522197140706,0.24632784086815376,0.13990222877296063,0.9999999999999999,0.8179082016553799,0.9066967644845748,0.14291087885409956,0.9518434913468773,0.25197444429538607,0.8013544018058689
level_set,0.8886380737396538,0.19510370270596886,0.15644980421922475,0.8179082016553799,0.9999999999999999,0.8118886380737396,0.22865740616655927,0.81941309255079,0.3647988223380962,0.876598946576373
otsu_T1c,0.7411587659894656,0.3201508635136555,-0.009025950243416814,0.9066967644845748,0.8118886380737396,0.9999999999999999,0.16848440454378052,0.8615500376222722,0.3091387958370259,0.8088788562829193
rango_doble,0.35351638453382517,-0.33885580596784515,0.7398496240601502,0.14291087885409956,0.2286574061665593,0.16848440454378052,1.0,0.14892817901637745,0.6451127819548872,0.32342988372243586
spline,0.8103837471783295,0.35480248638807466,0.17450170470605839,0.9518434913468773,0.81941309255079,0.8615500376222722,0.14892817901637742,0.9999999999999999,0.3121474459181648,0.8103837471783295
sustraccion,0.5137270013544737,0.1250001417570273,0.5218045112781955,0.25197444429538607,0.36479882233809624,0.3091387958370259,0.6451127819548872,0.3121474459181648,1.0,0.5859346033018082
variational_spline,0.9563581640331075,0.2192091794881735,0.20007523039573938,0.8013544018058689,0.876598946576373,0.8088788562829193,0.32342988372243586,0.8103837471783295,0.5859346033018082,0.9999999999999999
